,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
0,4418,BRD5032,PoweredPXIRJ,36.166,-86.782,201.43962934396131,,,
3,4596,BRD669,Powered8YV8Q,,,,36.1576,-86.7843,109.44024492795153
5,4422,BRD1246,PoweredCVS39,,,,36.1664,-86.7809,104.88452443728987
8,487,BRD1429,Powered41A5D,36.158,-86.783,208.80742705371634,,,
9,4188,BRD1835,PoweredQM75C,,,,36.1623,-86.7741,206.9350603310711
11,4188,BRD1927,PoweredYFXV9,36.1612,-86.7737,221.01139639337498,,,
12,4596,BRD2341,Powered4JJJC,,,,36.1571,-86.7845,220.21456795486384
14,4592,BRD2923,PoweredMUVL3,36.1388,-86.8005,52.85749614349076,,,
16,125,BRD2983,PoweredH3L45,36.1442,-86.7997,53.59392629659987,,,
17,4188,BRD3254,PoweredUX2J7,36.162,-86.7743,173.9216958877437,,,
18,4596,BRD3797,PoweredNUITK,,,,36.1578,-86.7844,84.99353166252205
20,4188,BRD4714,PoweredUWM4H,,,,36.1621,-86.7741,147.10603386407732
21,4422,BRD4652,PoweredYAXFE,36.1662,-86.7805,242.4749601429537,,,
22,4188,BRD5348,PoweredYUJHX,,,,36.1618,-86.7742,128.86022627845517
23,4422,BRD5350,PoweredL921X,,,,36.1661,-86.7808,194.28892506162958
24,4418,BRD5567,Powered8FK2M,36.1664,-86.7823,130.62883758267853,,,
27,4596,BRD5879,PoweredYBUMS,36.1576,-86.7842,137.85155152054207,,,
28,4592,BRD5915,PoweredU1QWL,36.1393,-86.801,243.42940639128003,,,
29,114,BRD48,Powered592MA,36.1514,-86.7993,148.6564361489527,,,
30,4422,BRD98,PoweredP4EJH,36.167,-86.7812,182.5056977814309,,,
33,4418,BRD126,PoweredAC7JS,,,,36.1659,-86.7818,237.22813107679053
35,4188,BRD1308,PoweredCPIHC,,,,36.162,-86.7742,147.5816942114313
36,4188,BRD1505,Powered3B6IG,36.1622,-86.774,160.955493366147,,,
37,4422,BRD1736,PoweredLLSRQ,,,,36.1671,-86.7813,219.65852674174832
40,4429,BRD1732,PoweredM6NQ7,36.1657,-86.7823,241.73416308015484,,,
41,4592,BRD1900,PoweredPR9SN,,,,36.1393,-86.8004,228.61200777106583
42,4596,BRD2363,PoweredBHWAX,36.1581,-86.7841,221.60746252305609,,,
44,4616,BRD2367,PoweredSXDH3,,,,36.1691,-86.7871,230.97216363198197
45,4596,BRD2676,PoweredG7XBR,36.1576,-86.7848,54.165961704433975,,,
46,4616,BRD2900,Powered1YCQ7,,,,36.1688,-86.7866,103.07693300897321
48,4425,BRD2983,PoweredMEALS,36.1672,-86.7816,166.09088654247338,,,
50,4188,BRD3495,Powered57FI9,36.1621,-86.7745,242.88169786647924,,,
51,4596,BRD3767,PoweredNQGZ7,36.1579,-86.7846,78.33231998952884,,,
52,4188,BRD3777,PoweredKT8SG,,,,36.162,-86.7745,228.9153323291749
53,4616,BRD3781,PoweredUJAR4,,,,36.1688,-86.7863,159.81853351915174
54,4616,BRD3862,PoweredTULVE,36.1688,-86.7867,95.54928562455122,,,
55,4249,BRD4014,Powered6YP5Z,,,,36.1498,-86.8011,204.58935076619463
56,4422,BRD4119,PoweredDUDFB,36.1663,-86.7811,83.22728083845134,,,
60,4596,BRD4120,PoweredWC2TH,,,,36.1577,-86.7842,133.9250767388644
61,4596,BRD4324,Powered1YCQ7,36.1581,-86.7845,156.47572406254938,,,
62,4596,BRD4426,Powered7JMWR,,,,36.1581,-86.7841,221.60746252305609
64,4596,BRD4658,PoweredPZS7B,36.1577,-86.7843,104.45119479280218,,,
65,4596,BRD4659,PoweredCAJE7,36.1578,-86.7843,111.85119589643159,,,
66,4616,BRD5042,PoweredV12UI,,,,36.168,-86.7866,201.25532203530727
67,4596,BRD5479,PoweredZ56GV,36.1582,-86.7841,247.75289588895882,,,
69,4616,BRD5711,PoweredFT8VS,,,,36.1687,-86.7861,196.4113568262979
70,4429,BRD6159,PoweredI9ULK,36.1658,-86.7819,168.03116591815433,,,
71,4418,BRD6156,PoweredFAKTM,36.166,-86.7821,208.02140506107972,,,
74,4418,BRD6160,PoweredZPKTI,36.166,-86.782,201.43962934396131,,,
77,4431,BRD6522,PoweredYAYL4,36.167,-86.7826,232.67417088419796,,,
78,4596,BRD6781,PoweredKDARL,,,,36.1581,-86.7845,156.47572406254938
80,4596,BRD6782,Powered698M5,36.1577,-86.7849,72.63222564912724,,,
82,487,BRD6900,PoweredKDARL,,,,36.158,-86.7838,153.5142187806214
83,487,BRD6899,Powered698M5,,,,36.1579,-86.7837,176.30092223696798
84,4596,BRD7020,Powered1YCQ7,,,,36.1582,-86.7842,229.38308892818597
87,4596,BRD7018,PoweredCP47V,,,,36.1582,-86.7841,247.75289588895882
89,4188,BRD7089,PoweredJEH79,,,,36.1619,-86.7744,191.13998873829118
90,4596,BRD7319,Powered1GT96,36.1579,-86.7839,235.19554736823497,,,
92,4188,BRD7489,PoweredJEH79,36.162,-86.7742,147.5816942114313,,,
93,4418,BRD7728,Powered7HKY5,,,,36.1662,-86.7817,138.49965694418572
99,4188,BRD8265,PoweredDUC85,36.1614,-86.7737,148.35242097990897,,,
100,125,BRD250,PoweredCZZIB,36.1448,-86.7999,189.054240072049,,,
101,4422,BRD320,Powered72PTV,,,,36.1664,-86.7804,248.36174681009157
102,4249,BRD430,PoweredBGY9T,36.1496,-86.8008,91.19616838150773,,,
103,4592,BRD587,PoweredR8DM1,,,,36.1381,-86.8006,220.44430191964273
105,4592,BRD589,PoweredFMWV1,,,,36.1382,-86.8009,199.87539787598678
109,114,BRD824,Powered3B6IG,36.1512,-86.7983,218.6022581577979,,,
110,4429,BRD825,PoweredYUME2,,,,36.1657,-86.7814,245.26868678888033
112,4616,BRD958,Powered7I5QD,36.1684,-86.7863,138.345367409953,,,
113,4616,BRD957,PoweredAHPGT,36.1686,-86.7868,28.918158033975303,,,
114,4596,BRD1170,PoweredAEG28,36.1579,-86.7839,235.19554736823497,,,
116,4596,BRD2218,Powered973A3,,,,36.1579,-86.7841,180.47123492577492
120,4596,BRD2716,Powered9UUEB,36.1578,-86.7841,168.23048415619212,,,
121,4188,BRD2763,PoweredTFHB9,,,,36.1615,-86.7741,148.7294736120864
122,4596,BRD2919,Powered434LT,,,,36.1576,-86.7853,193.30735799946052
123,4422,BRD3171,PoweredR2CYS,,,,36.1671,-86.7813,219.65852674174832
126,487,BRD3227,PoweredQ69LL,,,,36.1581,-86.7838,123.03051846632395
128,487,BRD3305,PoweredMPXLP,,,,36.1579,-86.7838,186.1839824158763
130,4188,BRD3389,Powered336IH,,,,36.1621,-86.7739,115.74908953356656
132,4188,BRD3396,PoweredICAFX,36.162,-86.7743,173.9216958877437,,,
133,125,BRD3611,PoweredJSUHU,36.144,-86.7998,104.72517815055431,,,
134,487,BRD3977,Powered62E7E,,,,36.1581,-86.7837,107.48980177575261
135,4418,BRD4427,Powered74YE6,36.1661,-86.7823,201.67687582864946,,,
138,487,BRD4508,Powered31GTT,,,,36.1584,-86.7829,190.30625474371374
139,487,BRD4507,PoweredYIPVP,,,,36.1583,-86.7829,191.42454669518736
140,487,BRD4506,Powered73AST,,,,36.1583,-86.7828,220.70876784419733
141,4188,BRD4548,PoweredR6YG5,,,,36.1621,-86.7745,242.88169786647924
143,487,BRD4623,PoweredVMYBT,36.1584,-86.7835,17.959284430129642,,,
144,4188,BRD4619,PoweredBHHGX,36.1617,-86.7741,106.2513706357462,,,
145,487,BRD4625,PoweredNRET6,36.1584,-86.7834,44.24070848749825,,,
146,4422,BRD60,PoweredL5LJY,36.1671,-86.7813,219.65852674174832,,,
149,4596,BRD246,Powered41V7U,,,,36.1576,-86.7844,81.79464606701977
150,4596,BRD247,PoweredGX725,,,,36.1576,-86.7844,81.79464606701977
151,4596,BRD248,PoweredVZU3B,,,,36.1576,-86.7845,56.059263311107124
152,4188,BRD417,PoweredZAWRY,36.1622,-86.7741,175.7762090652773,,,
153,4188,BRD416,PoweredMWV58,36.1622,-86.7741,175.7762090652773,,,
